Station,UTM_N_83,UTM_E_83,2017_Session1,2017_Session2,2017_Session3
1,4490823,449749,23.99,0.94,38.29
2,4490711,449820,14.4,0.54,29.82
3,4490701,449981,28.5,0.44,35.45
4,4490817,450010,22.63,1.04,33.07
5,4490897,450077,26.71,1.45,31.49
6,4490985,450041,26.98,1,32.53
7,4491023,450116,25.92,1.83,29.26
8,4491030,450240,23.55,0.92,27.86
9,4491142,450217,24.8,0.63,31.22
10,4491133,450067,32.03,1.41,30.95
11,4491090,449997,26.92,1.84,31.44
12,4491018,449941,29.26,1.98,30.08
13,4490993,449868,25.84,1.86,31.11
14,4490923,449846,24.37,1.89,33.78
15,4490873,449793,25.94,1.03,34.38
16,4490883,449659,21.7,1.26,33.23
17,4490848,449600,21.81,1.02,25.29
18,4490899,449565,29.53,1.21,39.71
19,4490952,449637,35.19,1.26,37.37
20,4490999,449680,25.97,0.93,31.09
